,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Boyolangu,36,ID,1547963934,92,-8.09,111.9,81.12,5.95
1,Keskin,80,TR,1547964508,86,39.67,33.62,24.15,2.82
2,Esperance,20,TT,1547960400,94,10.24,-61.45,71.6,5.17
3,Rikitea,92,PF,1547963936,99,-23.12,-134.97,80.22,13.56
4,Nikolskoye,20,RU,1547962200,85,59.7,30.79,24.8,11.18
5,Ushuaia,40,AR,1547960400,61,-54.81,-68.31,46.4,5.82
6,Mataura,100,NZ,1547963935,96,-46.19,168.86,54.21,24.07
7,Palmer,0,AU,1547962200,50,-34.85,139.16,78.8,18.34
8,Omboue,48,GA,1547964517,100,-1.57,9.26,80.4,3.04
9,Carnarvon,0,ZA,1547963988,42,-30.97,22.13,56.1,9.42
10,Qaanaaq,0,GL,1547963948,100,77.48,-69.36,-26.52,10.98
11,Albany,90,US,1547963520,79,42.65,-73.75,23.0,3.36
12,Kodiak,1,US,1547962500,55,39.95,-94.76,8.96,6.4
13,Kavieng,88,PG,1547964099,100,-2.57,150.8,79.23,9.42
14,Saint-Philippe,90,CA,1547962920,70,45.36,-73.48,-5.81,20.8
15,Punta Arenas,20,CL,1547960400,92,-53.16,-70.91,48.2,19.46
16,Tecoanapa,90,MX,1547962980,94,16.99,-99.26,75.2,2.24
17,Nata,40,CY,1547962200,81,34.78,32.57,51.8,9.17
18,Sioux Lookout,5,CA,1547960400,73,50.1,-91.92,-23.81,4.7
19,Kapaa,75,US,1547960160,78,22.08,-159.32,73.94,14.99
20,Port Hardy,40,CA,1547960400,100,50.7,-127.42,35.6,2.24
21,Mahebourg,20,MU,1547960400,74,-20.41,57.7,84.2,14.99
22,Puerto Ayora,92,EC,1547963946,100,-0.74,-90.35,76.8,7.85
23,Leningradskiy,48,RU,1547964032,79,69.38,178.42,-7.71,15.23
24,Tiksi,36,RU,1547963953,0,71.64,128.87,-43.8,2.71
25,Ribeira Grande,64,PT,1547964539,97,38.52,-28.7,62.67,7.52
26,Jamestown,0,AU,1547963993,82,-33.21,138.6,77.34,5.39
27,Oksfjord,56,NO,1547963400,84,70.24,22.35,24.8,13.87
28,Norman Wells,40,CA,1547960400,75,65.28,-126.83,-20.21,3.36
